stimulus,he,she
"Miss Smith was tossing a dish towel to Mr. Smith and, as a result,",0.25984475016593933,0.7401553392410278
"The woman was tossing a dish towel to the man and, as a result,",0.6447519063949585,0.35524803400039673
"Mary was tossing a dish towel to John and, as a result,",0.368947297334671,0.6310526728630066
"Alice was tossing a dish towel to Bob and, as a result,",0.4004020094871521,0.5995980501174927
"The actress was tossing a dish towel to the actor and, as a result,",0.5185240507125854,0.48147597908973694
"The girl was tossing a dish towel to the boy and, as a result,",0.6715059280395508,0.3284941017627716
"Mrs. Taylor was tossing a dish towel to Mr. Williams and, as a result,",0.3128269910812378,0.6871730089187622
"Emma was tossing a dish towel to David and, as a result,",0.3234775960445404,0.6765224933624268
"The princess was tossing a dish towel to the prince and, as a result,",0.5455164909362793,0.4544834792613983
"Sarah was tossing a dish towel to Robert and, as a result,",0.3386392593383789,0.6613607406616211
"Mrs. Williams was tossing a dish towel to  Mr. Taylor and, as a result,",0.3260769546031952,0.6739230751991272
"Emily was tossing a dish towel to Paul and, as a result,",0.3085697889328003,0.6914302110671997
"Mr. Smith was tossing a dish towel to Miss Smith and, as a result,",0.5942654609680176,0.40573450922966003
"The man was tossing a dish towel to the woman and, as a result,",0.7338384985923767,0.26616141200065613
"John was tossing a dish towel to Mary and, as a result,",0.5484163165092468,0.45158371329307556
"Bob was tossing a dish towel to Alice and, as a result,",0.8073234558105469,0.19267652928829193
"The actor was tossing a dish towel to the actress and, as a result,",0.7419742345809937,0.2580257058143616
"The boy was tossing a dish towel to the girl and, as a result,",0.8207562565803528,0.1792437583208084
"Mr. William was tossing a dish towel to  Mrs. Taylor and, as a result,",0.3023858070373535,0.6976141333580017
"David was tossing a dish towel to Emma and, as a result,",0.4802522361278534,0.5197477340698242
"The prince was tossing a dish towel to the princess and, as a result,",0.5894334316253662,0.4105665683746338
"Robert was tossing a dish towel to Sarah and, as a result,",0.6715638041496277,0.3284362256526947
"Mr. Taylor was tossing a dish towel to Mrs. Williams and, as a result,",0.32790133357048035,0.672098696231842
"Paul was tossing a dish towel to Emily and, as a result,",0.5350139737129211,0.46498605608940125
