stimulus,He,She
Miss Smith was serving a chili to Mr. Smith.,0.7364541888237,0.26354581117630005
The woman was serving a chili to the man.,0.7857879996299744,0.21421201527118683
Mary was serving a chili to John.,0.5486181974411011,0.45138174295425415
Alice was serving a chili to Bob.,0.10819310694932938,0.891806960105896
The actress was serving a chili to the actor.,0.797990620136261,0.2020093947649002
The girl was serving a chili to the boy.,0.782752275466919,0.21724775433540344
Mrs. Taylor was serving a chili to Mr. Williams.,0.7402369379997253,0.2597630023956299
Emma was serving a chili to David.,0.7911589741706848,0.20884107053279877
The princess was serving a chili to the prince.,0.7823588252067566,0.2176411896944046
Sarah was serving a chili to Robert.,0.12239710986614227,0.8776029348373413
Mrs. Williams was serving a chili to Mr. Taylor.,0.7438654899597168,0.2561345398426056
Emily was serving a chili to Paul.,0.08671069145202637,0.9132893085479736
Mr. Smith was serving a chili to Miss Smith.,0.8563470840454102,0.14365294575691223
The man was serving a chili to the woman.,0.8826213479042053,0.11737864464521408
John was serving a chili to Mary.,0.877578854560852,0.12242106348276138
Bob was serving a chili to Alice.,0.8706247806549072,0.12937523424625397
The actor was serving a chili to the actress.,0.8660941123962402,0.13390593230724335
The boy was serving a chili to the girl.,0.8696936964988708,0.13030627369880676
Mr. William was serving a chili to  Mrs. Taylor.,0.8586893081665039,0.1413106918334961
David was serving a chili to Emma.,0.3727056384086609,0.6272943615913391
The prince was serving a chili to the princess.,0.8767895698547363,0.12321038544178009
Robert was serving a chili to Sarah.,0.41778764128685,0.5822123289108276
Mr. Taylor was serving a chili to Mrs. Williams.,0.853690505027771,0.146309494972229
Paul was serving a chili to Emily.,0.8634538054466248,0.13654619455337524
