Stimuli,He,She
The man rolled a beach ball to the woman.,0.8816149830818176,0.11838501691818237
The woman rolled a beach ball to the man.,0.8197645545005798,0.18023550510406494
The man handed a gift to the woman.,0.8677228093147278,0.13227713108062744
The woman handed a gift to the man.,0.8244994878768921,0.17550045251846313
The woman carried a banana to the man.,0.8223701119422913,0.17762990295886993
The man carried a banana to the woman.,0.8730687499046326,0.12693123519420624
The man threw a Frisbee to the woman.,0.8741675615310669,0.1258324533700943
The woman threw a Frisbee to the man.,0.830204427242279,0.16979558765888214
The man mailed a letter to the woman.,0.8675115704536438,0.13248836994171143
The man gave a book to the woman.,0.8694953918457031,0.13050459325313568
The woman gave a book to the man.,0.8148791790008545,0.18512088060379028
The man brought flowers to the woman.,0.8555768728256226,0.14442308247089386
The woman brought flowers to the man.,0.8208183646202087,0.17918159067630768
The woman kicked a soccer ball to the man.,0.8250805735588074,0.1749194711446762
The man kicked a soccer ball to the woman.,0.876484215259552,0.123515784740448
The woman mailed a letter to the man.,0.8143807649612427,0.18561922013759613
