Stimuli,he,she
The woman flung a frisbee to the man because,0.38253194093704224,0.617467999458313
The man flung a frisbee to the woman because,0.5169024467468262,0.4830975830554962
The man kicked a soccer ball to the woman because,0.4308550953865051,0.5691449046134949
The woman kicked a soccer ball to the man because,0.3749026656150818,0.6250973343849182
The woman lobbed a football to the man because,0.5330442786216736,0.4669557511806488
The man lobbed a football to the woman because,0.3492812514305115,0.6507187485694885
The man rolled a toy truck to the woman because,0.5792906880378723,0.4207092821598053
The woman rolled a toy truck to the man because,0.1688830554485321,0.8311169743537903
The woman threw a hat to the man because,0.43573665618896484,0.5642632842063904
The man threw a hat to the woman because,0.5448132157325745,0.45518675446510315
The man tossed a dish towel to the woman because,0.39712458848953247,0.6028753519058228
The woman tossed a dish towel to the man because,0.468639075756073,0.5313608646392822
The man brought a glass of water to the woman because,0.535438597202301,0.4645613729953766
The woman brought a glass of water to the man because,0.2992119789123535,0.7007880210876465
The man forwarded a gossipy email to the woman because,0.5289433598518372,0.47105666995048523
The woman forwarded a gossipy email to the man because,0.295589417219162,0.7044106721878052
The woman mailed a letter to the man because,0.16454018652439117,0.83545982837677
The man mailed a letter to the woman because,0.598494827747345,0.40150514245033264
The man sent a fruitcake to the woman because,0.413504421710968,0.5864955186843872
The woman sent a fruitcake to the man because,0.3856654167175293,0.6143345832824707
The woman shipped a package to the man because,0.18834102153778076,0.8116589188575745
The man shipped a package to the woman because,0.475635290145874,0.524364709854126
The woman transmitted a message to the man because,0.15020926296710968,0.8497907519340515
The man transmitted a message to the woman because,0.6236267685890198,0.376373291015625
The man wired money to the woman because,0.5777100920677185,0.4222898483276367
The woman wired money to the man because,0.28720638155937195,0.7127936482429504
The woman carried a tray to the man because,0.19044376909732819,0.809556245803833
The man carried a tray to the woman because,0.6192688941955566,0.38073107600212097
The man delivered a subpoena to the woman because,0.3727397620677948,0.6272602081298828
The woman delivered a subpoena to the man because,0.35986554622650146,0.6401344537734985
The man gave a sweater to the woman because,0.5266609191894531,0.47333911061286926
The woman gave a sweater to the man because,0.36095482110977173,0.6390451788902283
The man handed a book to the woman because,0.4143143892288208,0.5856856107711792
The woman handed a book to the man because,0.33553606271743774,0.664463996887207
The woman passed a sandwich to the man because,0.28803902864456177,0.711961030960083
The man passed a sandwich to the woman because,0.5769379734992981,0.4230620265007019
The woman served chili to the man because,0.21505066752433777,0.7849493026733398
The man served chili to the woman because,0.6000080108642578,0.3999920189380646
